Global frequency set at 1000000000000 ticks per second
gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 25.0.0.1
gem5 compiled Dec  1 2025 18:50:16
gem5 started Dec  1 2025 21:03:36
gem5 executing on foisat01-vm.mpi-sp.org, pid 1609432
command line: ./build/X86/gem5.opt --debug-flags=AddressTrace configs/my-configs/x86-memory-tracker.py

info: Using default config
Running the simulation
 844000: global: Accessing address 0xc3d14 from processor.cores0.core.data | Command: WriteReq
 847000: global: Accessing address 0xc1d8c from processor.cores0.core.data | Command: WriteReq
 892000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: WriteReq
 895000: global: Accessing address 0xc3cd0 from processor.cores0.core.data | Command: WriteReq
 908000: global: Accessing address 0xc1d2c from processor.cores0.core.data | Command: WriteReq
 913000: global: Accessing address 0xc1d24 from processor.cores0.core.data | Command: WriteReq
 918000: global: Accessing address 0xc1d28 from processor.cores0.core.data | Command: WriteReq
 921000: global: Accessing address 0xc1d20 from processor.cores0.core.data | Command: WriteReq
 922000: global: Accessing address 0xc3d0c from processor.cores0.core.data | Command: WriteReq
 928000: global: Accessing address 0xc3d10 from processor.cores0.core.data | Command: WriteReq
 934000: global: Accessing address 0xc3d1c from processor.cores0.core.data | Command: WriteReq
 939000: global: Accessing address 0xc3d14 from processor.cores0.core.data | Command: WriteReq
 941000: global: Accessing address 0xc3d0c from processor.cores0.core.data | Command: ReadReq
 952000: global: Accessing address 0xc3d0c from processor.cores0.core.data | Command: WriteReq
 953000: global: Accessing address 0xc3d1c from processor.cores0.core.data | Command: ReadReq
 954000: global: Accessing address 0xc3d10 from processor.cores0.core.data | Command: ReadReq
 956000: global: Accessing address 0xc3d10 from processor.cores0.core.data | Command: WriteReq
 964000: global: Accessing address 0xc1d8c from processor.cores0.core.data | Command: ReadReq
 975000: global: Accessing address 0xc1d30 from processor.cores0.core.data | Command: WriteReq
 978000: global: Accessing address 0xc1d34 from processor.cores0.core.data | Command: WriteReq
 981000: global: Accessing address 0xc1d38 from processor.cores0.core.data | Command: WriteReq
 983000: global: Accessing address 0xc1d3c from processor.cores0.core.data | Command: WriteReq
 987000: global: Accessing address 0xc1d8c from processor.cores0.core.data | Command: ReadReq
 998000: global: Accessing address 0xc1d50 from processor.cores0.core.data | Command: WriteReq
1000000: global: Accessing address 0xc1d54 from processor.cores0.core.data | Command: WriteReq
1002000: global: Accessing address 0xc1d58 from processor.cores0.core.data | Command: WriteReq
1005000: global: Accessing address 0xc1d5c from processor.cores0.core.data | Command: WriteReq
1008000: global: Accessing address 0xc1d28 from processor.cores0.core.data | Command: ReadReq
1017000: global: Accessing address 0xc3cd0 from processor.cores0.core.data | Command: ReadReq
1020000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: ReadReq
1039000: global: Accessing address 0xc1d40 from processor.cores0.core.data | Command: WriteReq
1041000: global: Accessing address 0xc1d44 from processor.cores0.core.data | Command: WriteReq
1044000: global: Accessing address 0xc1d48 from processor.cores0.core.data | Command: WriteReq
1047000: global: Accessing address 0xc1d4c from processor.cores0.core.data | Command: WriteReq
1057000: global: Accessing address 0xc1d60 from processor.cores0.core.data | Command: WriteReq
1059000: global: Accessing address 0xc1d64 from processor.cores0.core.data | Command: WriteReq
1062000: global: Accessing address 0xc1d68 from processor.cores0.core.data | Command: WriteReq
1065000: global: Accessing address 0xc1d6c from processor.cores0.core.data | Command: WriteReq
1075000: global: Accessing address 0xc1d70 from processor.cores0.core.data | Command: WriteReq
1078000: global: Accessing address 0xc1d74 from processor.cores0.core.data | Command: WriteReq
1081000: global: Accessing address 0xc1d78 from processor.cores0.core.data | Command: WriteReq
1084000: global: Accessing address 0xc1d7c from processor.cores0.core.data | Command: WriteReq
1086000: global: Accessing address 0xc1d80 from processor.cores0.core.data | Command: ReadReq
1095000: global: Accessing address 0xc3d0c from processor.cores0.core.data | Command: ReadReq
1108000: global: Accessing address 0xc1d2c from processor.cores0.core.data | Command: ReadReq
1117000: global: Accessing address 0xc1d84 from processor.cores0.core.data | Command: ReadReq
1119000: global: Accessing address 0xc1d84 from processor.cores0.core.data | Command: WriteReq
1128000: global: Accessing address 0xc1d84 from processor.cores0.core.data | Command: ReadReq
1130000: global: Accessing address 0xc1d84 from processor.cores0.core.data | Command: WriteReq
1132000: global: Accessing address 0xc1d88 from processor.cores0.core.data | Command: WriteReq
1134000: global: Accessing address 0xc3d0c from processor.cores0.core.data | Command: ReadReq
1142000: global: Accessing address 0xc1d90 from processor.cores0.core.data | Command: WriteReq
1143000: global: Accessing address 0xc3d10 from processor.cores0.core.data | Command: ReadReq
1146000: global: Accessing address 0xc1d94 from processor.cores0.core.data | Command: WriteReq
1147000: global: Accessing address 0xc3d14 from processor.cores0.core.data | Command: ReadReq
1149000: global: Accessing address 0xc1d98 from processor.cores0.core.data | Command: WriteReq
1153000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: WriteReq
1165000: global: Accessing address 0xbe7a8 from processor.cores0.core.data | Command: ReadReq
1166000: global: Accessing address 0xbe7c0 from processor.cores0.core.data | Command: ReadReq
1172000: global: Accessing address 0xc3d20 from processor.cores0.core.data | Command: WriteReq
1181000: global: Accessing address 0xbe7c8 from processor.cores0.core.data | Command: ReadReq
1188000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: ReadReq
1198000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: WriteReq
1210000: global: Accessing address 0xbe620 from processor.cores0.core.data | Command: ReadReq
1211000: global: Accessing address 0xbe638 from processor.cores0.core.data | Command: ReadReq
1221000: global: Accessing address 0xc3d28 from processor.cores0.core.data | Command: WriteReq
1230000: global: Accessing address 0xbe640 from processor.cores0.core.data | Command: ReadReq
1237000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: ReadReq
1241000: global: Accessing address 0xc3d28 from processor.cores0.core.data | Command: ReadReq
1247000: global: Accessing address 0xc1dc0 from processor.cores0.core.data | Command: WriteReq
1251000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: WriteReq
1263000: global: Accessing address 0xbe888 from processor.cores0.core.data | Command: ReadReq
1264000: global: Accessing address 0xbe8a0 from processor.cores0.core.data | Command: ReadReq
1274000: global: Accessing address 0xc3d30 from processor.cores0.core.data | Command: WriteReq
1283000: global: Accessing address 0xbe8a8 from processor.cores0.core.data | Command: ReadReq
1290000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: ReadReq
1293000: global: Accessing address 0xc3d30 from processor.cores0.core.data | Command: ReadReq
1300000: global: Accessing address 0xc1db0 from processor.cores0.core.data | Command: WriteReq
1303000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: WriteReq
1315000: global: Accessing address 0xbe4d0 from processor.cores0.core.data | Command: ReadReq
1316000: global: Accessing address 0xbe4e8 from processor.cores0.core.data | Command: ReadReq
1326000: global: Accessing address 0xc3d38 from processor.cores0.core.data | Command: WriteReq
1335000: global: Accessing address 0xbe4f0 from processor.cores0.core.data | Command: ReadReq
1342000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: ReadReq
1346000: global: Accessing address 0xc3d38 from processor.cores0.core.data | Command: ReadReq
1350000: global: Accessing address 0xc1d88 from processor.cores0.core.data | Command: ReadReq
1355000: global: Accessing address 0xc1d08 from processor.cores0.core.data | Command: WriteReq
1358000: global: Accessing address 0xc1db8 from processor.cores0.core.data | Command: WriteReq
1371000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: WriteReq
1383000: global: Accessing address 0xbe770 from processor.cores0.core.data | Command: ReadReq
1384000: global: Accessing address 0xbe788 from processor.cores0.core.data | Command: ReadReq
1390000: global: Accessing address 0xc3d40 from processor.cores0.core.data | Command: WriteReq
1399000: global: Accessing address 0xbe790 from processor.cores0.core.data | Command: ReadReq
1406000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: ReadReq
1417000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: WriteReq
1429000: global: Accessing address 0xbe658 from processor.cores0.core.data | Command: ReadReq
1430000: global: Accessing address 0xbe670 from processor.cores0.core.data | Command: ReadReq
1436000: global: Accessing address 0xc3d48 from processor.cores0.core.data | Command: WriteReq
1445000: global: Accessing address 0xbe678 from processor.cores0.core.data | Command: ReadReq
1452000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: ReadReq
1477000: global: Accessing address 0x2e0 from processor.cores0.core.data | Command: ReadReq
1479000: global: Accessing address 0x2d8 from processor.cores0.core.data | Command: ReadReq
1485000: global: Accessing address 0x2e8 from processor.cores0.core.data | Command: ReadReq
1486000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: WriteReq
1494000: global: Accessing address 0xc1d80 from processor.cores0.core.data | Command: ReadReq
1508000: global: Accessing address 0xc1d84 from processor.cores0.core.data | Command: ReadReq
1518000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: ReadReq
1523000: global: Accessing address 0xbf0d0 from processor.cores0.core.data | Command: WriteReq
1531000: global: Accessing address 0x2f8 from processor.cores0.core.data | Command: ReadReq
1533000: global: Accessing address 0x2f0 from processor.cores0.core.data | Command: ReadReq
1539000: global: Accessing address 0x300 from processor.cores0.core.data | Command: ReadReq
1540000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: WriteReq
1549000: global: Accessing address 0xc1d80 from processor.cores0.core.data | Command: ReadReq
1560000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: ReadReq
1565000: global: Accessing address 0xbf0c8 from processor.cores0.core.data | Command: WriteReq
1573000: global: Accessing address 0x310 from processor.cores0.core.data | Command: ReadReq
1575000: global: Accessing address 0x308 from processor.cores0.core.data | Command: ReadReq
1581000: global: Accessing address 0x318 from processor.cores0.core.data | Command: ReadReq
1582000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: WriteReq
1588000: global: Accessing address 0xc1d2a from processor.cores0.core.data | Command: ReadReq
1599000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: ReadReq
1604000: global: Accessing address 0xbf0c0 from processor.cores0.core.data | Command: WriteReq
1612000: global: Accessing address 0x328 from processor.cores0.core.data | Command: ReadReq
1614000: global: Accessing address 0x320 from processor.cores0.core.data | Command: ReadReq
1620000: global: Accessing address 0x330 from processor.cores0.core.data | Command: ReadReq
1621000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: WriteReq
1627000: global: Accessing address 0xc1d2a from processor.cores0.core.data | Command: ReadReq
1638000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: ReadReq
1643000: global: Accessing address 0xbf0b8 from processor.cores0.core.data | Command: WriteReq
1651000: global: Accessing address 0x340 from processor.cores0.core.data | Command: ReadReq
1653000: global: Accessing address 0x338 from processor.cores0.core.data | Command: ReadReq
1659000: global: Accessing address 0x348 from processor.cores0.core.data | Command: ReadReq
1660000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: WriteReq
1666000: global: Accessing address 0xc1d84 from processor.cores0.core.data | Command: ReadReq
1678000: global: Accessing address 0xc1d80 from processor.cores0.core.data | Command: ReadReq
1692000: global: Accessing address 0xc1d29 from processor.cores0.core.data | Command: ReadReq
1714000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: ReadReq
1719000: global: Accessing address 0xbf0b0 from processor.cores0.core.data | Command: WriteReq
1727000: global: Accessing address 0x358 from processor.cores0.core.data | Command: ReadReq
1729000: global: Accessing address 0x350 from processor.cores0.core.data | Command: ReadReq
1735000: global: Accessing address 0x360 from processor.cores0.core.data | Command: ReadReq
1736000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: WriteReq
1742000: global: Accessing address 0xc1d80 from processor.cores0.core.data | Command: ReadReq
1757000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: ReadReq
1762000: global: Accessing address 0xbf0a8 from processor.cores0.core.data | Command: WriteReq
1770000: global: Accessing address 0x370 from processor.cores0.core.data | Command: ReadReq
1772000: global: Accessing address 0x368 from processor.cores0.core.data | Command: ReadReq
1778000: global: Accessing address 0x378 from processor.cores0.core.data | Command: ReadReq
1779000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: WriteReq
1787000: global: Accessing address 0xc1d80 from processor.cores0.core.data | Command: ReadReq
1804000: global: Accessing address 0xc1d84 from processor.cores0.core.data | Command: ReadReq
1812000: global: Accessing address 0xc1d29 from processor.cores0.core.data | Command: ReadReq
1822000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: ReadReq
1827000: global: Accessing address 0xbf0a0 from processor.cores0.core.data | Command: WriteReq
1835000: global: Accessing address 0x388 from processor.cores0.core.data | Command: ReadReq
1837000: global: Accessing address 0x380 from processor.cores0.core.data | Command: ReadReq
